airbnb_id,night_priceـnative,night_price,weekly_price,monthly_price,cleaning_fee_native,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33454167.0,265.0,248.0,0.0,0.0,120.0,2.0,2.0,40.0,146.0,3017.0,268924.0,Orlando,4.0,32801.0,Apartment,Entire home/apt,134.0,2.0,28.5384,-81.3863,5.0
33451748.0,76.0,70.0,0.0,0.0,50.0,2.0,2.0,100.0,364.0,2123.0,268866.0,Orlando,6.0,32811.0,Condominium,Entire home/apt,100.0,4.0,28.4891,-81.4414,5.0
33452555.0,98.0,95.0,0.0,0.0,30.0,1.0,1.0,78.0,284.0,2248.0,268878.0,Orlando,3.0,32801.0,Apartment,Entire home/apt,537.0,1.0,28.5445,-81.3702,5.0
33452566.0,115.0,100.0,600.0,1950.0,100.0,2.0,1.0,82.0,301.0,2508.0,268881.0,Orlando,3.0,32789.0,Townhouse,Entire home/apt,165.0,1.0,28.5906,-81.3526,5.0
33457513.0,219.0,221.0,0.0,0.0,150.0,2.5,3.0,71.0,260.0,4788.0,268890.0,Orlando,8.0,32806.0,House,Entire home/apt,231.0,3.0,28.5014,-81.3597,5.0
33451817.0,69.0,75.0,0.0,0.0,85.0,1.0,1.0,30.0,111.0,694.0,268866.0,Orlando,4.0,32839.0,Condominium,Entire home/apt,154.0,2.0,28.4884,-81.4154,5.0
33453461.0,90.0,90.0,0.0,0.0,80.0,2.0,2.0,57.0,157.0,1570.0,268906.0,Orlando,5.0,32822.0,Condominium,Entire home/apt,22.0,3.0,28.5047,-81.3005,5.0
33461244.0,499.0,479.0,0.0,0.0,150.0,4.0,4.0,81.0,297.0,11855.0,269086.0,Orlando,8.0,32805.0,Guesthouse,Entire home/apt,24.0,4.0,28.5459,-81.4048,5.0
33457238.0,173.0,202.0,0.0,0.0,99.0,1.0,0.0,51.0,186.0,3131.0,268890.0,Orlando,2.0,32801.0,Loft,Entire home/apt,180.0,1.0,28.5397,-81.3811,5.0
33469183.0,300.0,150.0,0.0,0.0,110.0,2.5,3.0,30.0,109.0,1363.0,274235.0,Orlando,6.0,34744.0,Townhouse,Entire home/apt,16.0,3.0,28.3417,-81.3233,5.0
33457644.0,78.0,81.0,0.0,0.0,40.0,1.0,1.0,63.0,230.0,1553.0,268987.0,Orlando,4.0,32819.0,Serviced apartment,Entire home/apt,239.0,2.0,28.4574,-81.4678,5.0
33453388.0,229.0,226.0,0.0,0.0,199.0,2.0,3.0,82.0,300.0,5650.0,268881.0,Orlando,6.0,32789.0,House,Entire home/apt,68.0,4.0,28.5871,-81.3521,5.0
33452089.0,62.0,74.0,0.0,0.0,15.0,1.0,0.0,86.0,314.0,1936.0,268878.0,Orlando,4.0,32803.0,Guesthouse,Entire home/apt,430.0,2.0,28.5656,-81.3676,5.0
33453319.0,85.0,85.0,0.0,0.0,80.0,2.0,2.0,16.0,59.0,418.0,268906.0,Orlando,4.0,32822.0,Condominium,Entire home/apt,16.0,3.0,28.5126,-81.2991,5.0
33451533.0,91.0,98.0,0.0,0.0,,1.0,1.0,47.0,170.0,1388.0,125976.0,Orlando,4.0,32804.0,Tiny house,Entire home/apt,368.0,3.0,28.581,-81.4061,5.0
33454896.0,89.0,126.0,0.0,0.0,125.0,2.0,3.0,92.0,336.0,3528.0,268890.0,Orlando,6.0,32806.0,Bungalow,Entire home/apt,101.0,4.0,28.5162,-81.3526,5.0
33453221.0,65.0,66.0,0.0,0.0,75.0,2.0,2.0,25.0,91.0,501.0,268914.0,Orlando,7.0,32839.0,Apartment,Entire home/apt,109.0,6.0,28.4919,-81.4055,4.0
33452123.0,75.0,75.0,440.0,1500.0,60.0,1.0,0.0,79.0,73.0,1825.0,268878.0,Orlando,3.0,32814.0,Apartment,Entire home/apt,137.0,2.0,28.5675,-81.3201,5.0
33451593.0,129.0,103.0,0.0,0.0,,1.0,2.0,94.0,343.0,2944.0,125976.0,Orlando,5.0,32804.0,Tiny house,Entire home/apt,455.0,3.0,28.5809,-81.4078,5.0
33459459.0,95.0,92.0,0.0,0.0,100.0,1.0,1.0,52.0,188.0,1441.0,269035.0,Orlando,2.0,32804.0,Guesthouse,Entire home/apt,81.0,1.0,28.5695,-81.3841,5.0
33451552.0,116.0,104.0,0.0,0.0,,1.0,1.0,71.0,259.0,2245.0,125976.0,Orlando,3.0,32804.0,Tiny house,Entire home/apt,418.0,1.0,28.5821,-81.4067,5.0
33458825.0,60.0,99.0,0.0,0.0,60.0,1.0,0.0,44.0,160.0,1320.0,268987.0,Orlando,2.0,32819.0,Apartment,Entire home/apt,281.0,2.0,28.4557,-81.4631,5.0
33452634.0,75.0,98.0,0.0,0.0,30.0,1.0,1.0,63.0,229.0,1870.0,268878.0,Orlando,3.0,32801.0,Condominium,Entire home/apt,159.0,1.0,28.5441,-81.3694,5.0
33453300.0,95.0,85.0,0.0,0.0,80.0,2.0,2.0,44.0,146.0,1128.0,268906.0,Orlando,4.0,32822.0,Apartment,Entire home/apt,16.0,4.0,28.5142,-81.2993,5.0
