id,nights_booked,occupancy,rental_income,star_rating
33451748.0,364.0,100.0,2123.0,5.0
33452555.0,284.0,78.0,2248.0,5.0
33452566.0,301.0,82.0,2508.0,5.0
33457513.0,260.0,71.0,4788.0,5.0
33451817.0,111.0,30.0,694.0,5.0
33453461.0,157.0,57.0,1570.0,5.0
33461244.0,297.0,81.0,11855.0,5.0
33457238.0,186.0,51.0,3131.0,5.0
33469183.0,109.0,30.0,1363.0,5.0
33457644.0,230.0,63.0,1553.0,5.0
33453388.0,300.0,82.0,5650.0,5.0
33452089.0,314.0,86.0,1936.0,5.0
33453319.0,59.0,16.0,418.0,5.0
33451533.0,170.0,47.0,1388.0,5.0
33454896.0,336.0,92.0,3528.0,5.0
33453221.0,91.0,25.0,501.0,4.0
33452123.0,73.0,79.0,1825.0,5.0
33451593.0,343.0,94.0,2944.0,5.0
33459459.0,188.0,52.0,1441.0,5.0
33451552.0,259.0,71.0,2245.0,5.0
33458825.0,160.0,44.0,1320.0,5.0
33452634.0,229.0,63.0,1870.0,5.0
33453300.0,146.0,44.0,1128.0,5.0
33463357.0,332.0,91.0,2794.0,5.0
33459216.0,137.0,64.0,3249.0,5.0
33464445.0,75.0,49.0,4275.0,5.0
33453011.0,262.0,72.0,2445.0,5.0
33453395.0,211.0,58.0,2251.0,5.0
33453917.0,75.0,25.0,1178.0,5.0
33459269.0,270.0,74.0,1913.0,5.0
33453124.0,316.0,87.0,1975.0,5.0
33454573.0,353.0,97.0,2648.0,5.0
33453462.0,322.0,88.0,7352.0,5.0
33465843.0,4.0,13.0,320.0,5.0
33460353.0,33.0,9.0,297.0,5.0
33463641.0,184.0,50.0,1840.0,5.0
33454645.0,79.0,22.0,1448.0,5.0
33459054.0,232.0,69.0,2172.0,5.0
33456721.0,345.0,95.0,1754.0,5.0
33458084.0,326.0,89.0,11655.0,5.0
33452107.0,170.0,47.0,1289.0,5.0
33463316.0,278.0,91.0,5226.0,5.0
33451602.0,318.0,87.0,1537.0,5.0
33458130.0,291.0,96.0,2561.0,5.0
33452795.0,120.0,36.0,1364.0,5.0
33463872.0,358.0,98.0,3550.0,5.0
33452304.0,92.0,60.0,1490.0,5.0
33451504.0,282.0,77.0,2139.0,5.0
33453444.0,351.0,96.0,3773.0,5.0
33452611.0,215.0,59.0,1183.0,5.0
33460061.0,98.0,27.0,760.0,5.0
33453624.0,244.0,67.0,2806.0,5.0
33460330.0,311.0,85.0,3654.0,5.0
33460383.0,283.0,78.0,3349.0,5.0
33452914.0,215.0,59.0,1362.0,5.0
33455481.0,167.0,46.0,1294.0,5.0
33460516.0,8.0,9.0,360.0,5.0
33454081.0,303.0,83.0,2247.0,5.0
33454117.0,136.0,41.0,779.0,5.0
33453429.0,187.0,51.0,1434.0,5.0
33457531.0,304.0,83.0,3116.0,5.0
33453596.0,212.0,58.0,1714.0,5.0
33457409.0,20.0,7.0,432.0,5.0
33464541.0,70.0,57.0,2013.0,4.0
33454131.0,225.0,62.0,2231.0,5.0
33454935.0,279.0,76.0,6929.0,5.0
33453017.0,186.0,56.0,795.0,5.0
33453773.0,136.0,37.0,1145.0,5.0
33462335.0,194.0,53.0,1568.0,5.0
33461655.0,175.0,48.0,6315.0,4.0
33453265.0,204.0,56.0,1139.0,5.0
33453053.0,253.0,69.0,1666.0,5.0
33455091.0,156.0,51.0,1310.0,5.0
33453380.0,247.0,68.0,1482.0,5.0
33466605.0,56.0,15.0,803.0,5.0
33453482.0,171.0,47.0,1325.0,5.0
33459971.0,71.0,77.0,3053.0,5.0
33451730.0,289.0,79.0,1638.0,5.0
33457808.0,328.0,90.0,1476.0,5.0
33452523.0,350.0,96.0,1779.0,5.0
33454098.0,230.0,63.0,1208.0,5.0
33459037.0,157.0,43.0,5351.0,5.0
33452029.0,161.0,44.0,939.0,5.0
33460946.0,190.0,52.0,1884.0,
33458887.0,325.0,89.0,2708.0,5.0
33453871.0,276.0,83.0,3764.0,5.0
33469242.0,169.0,46.0,2000.0,5.0
33452410.0,246.0,67.0,1866.0,5.0
33453666.0,210.0,69.0,2898.0,5.0
33453684.0,284.0,93.0,2499.0,5.0
33453405.0,271.0,74.0,1965.0,5.0
33463072.0,245.0,100.0,2879.0,5.0
33464529.0,341.0,93.0,4518.0,5.0
33463287.0,347.0,95.0,2834.0,5.0
33463591.0,299.0,82.0,2691.0,5.0
33464375.0,132.0,36.0,1430.0,5.0
33463136.0,261.0,72.0,4676.0,5.0
33456825.0,15.0,10.0,207.0,5.0
33452338.0,238.0,65.0,1666.0,5.0
33459036.0,74.0,22.0,693.0,5.0
33459957.0,178.0,65.0,1582.0,4.0
33453745.0,359.0,98.0,2992.0,5.0
33459451.0,95.0,26.0,895.0,5.0
33454126.0,178.0,49.0,2551.0,5.0
33453222.0,46.0,50.0,1579.0,4.0
33463622.0,47.0,31.0,1100.0,5.0
33453127.0,175.0,48.0,2129.0,5.0
33451571.0,304.0,83.0,2508.0,5.0
33463169.0,39.0,25.0,406.0,5.0
33452893.0,312.0,85.0,3562.0,5.0
33453212.0,182.0,50.0,1213.0,5.0
33451728.0,212.0,58.0,1590.0,5.0
33451707.0,212.0,58.0,1201.0,5.0
33452850.0,161.0,48.0,1551.0,5.0
33451862.0,344.0,94.0,2265.0,5.0
33459282.0,334.0,92.0,2366.0,5.0
33452505.0,287.0,79.0,1459.0,5.0
33467530.0,45.0,12.0,375.0,5.0
33453475.0,168.0,46.0,2520.0,5.0
33467545.0,317.0,87.0,2457.0,5.0
33452518.0,153.0,42.0,1364.0,5.0
33456131.0,327.0,90.0,4278.0,5.0
33458756.0,324.0,89.0,1809.0,5.0
