id,airbnb_city,lat,lon,star_rating
33452566.0,Orlando,28.5906,-81.3526,5.0
33457513.0,Orlando,28.5014,-81.3597,5.0
33451817.0,Orlando,28.4884,-81.4154,5.0
33453461.0,Orlando,28.5047,-81.3005,5.0
33461244.0,Orlando,28.5459,-81.4048,5.0
33457238.0,Orlando,28.5397,-81.3811,5.0
33469183.0,Orlando,28.3417,-81.3233,5.0
33457644.0,Orlando,28.4574,-81.4678,5.0
33453388.0,Orlando,28.5871,-81.3521,5.0
33452089.0,Orlando,28.5656,-81.3676,5.0
33453319.0,Orlando,28.5126,-81.2991,5.0
33451533.0,Orlando,28.581,-81.4061,5.0
33454896.0,Orlando,28.5162,-81.3526,5.0
33453221.0,Orlando,28.4919,-81.4055,4.0
33452123.0,Orlando,28.5675,-81.3201,5.0
33451593.0,Orlando,28.5809,-81.4078,5.0
33459459.0,Orlando,28.5695,-81.3841,5.0
33451552.0,Orlando,28.5821,-81.4067,5.0
33458825.0,Orlando,28.4557,-81.4631,5.0
33452634.0,Orlando,28.5441,-81.3694,5.0
33453300.0,Orlando,28.5142,-81.2993,5.0
33463357.0,Orlando,28.6017,-81.3565,5.0
33459216.0,Orlando,28.4884,-81.4894,5.0
33464445.0,Orlando,28.6037,-81.3839,5.0
33453011.0,Orlando,28.5399,-81.3677,5.0
33453395.0,Orlando,28.5434,-81.3657,5.0
33453917.0,Orlando,28.546,-81.3609,5.0
33459269.0,Orlando,28.5727,-81.3802,5.0
33453124.0,Orlando,28.5142,-81.2984,5.0
33454573.0,Orlando,28.5094,-81.2921,5.0
33453462.0,Orlando,28.5888,-81.3209,5.0
33465843.0,Orlando,28.4672,-81.2605,5.0
33460353.0,Orlando,28.5955,-81.3989,5.0
33463641.0,Orlando,28.4755,-81.4078,5.0
33454645.0,Orlando,28.5425,-81.3635,5.0
33459054.0,Orlando,28.4561,-81.469,5.0
33456721.0,Orlando,28.4573,-81.4668,5.0
33458084.0,Orlando,28.5362,-81.3812,5.0
33452107.0,Orlando,28.4887,-81.4417,5.0
33463316.0,Orlando,28.5419,-81.3801,5.0
33451602.0,Orlando,28.4966,-81.4376,5.0
33458130.0,Orlando,28.4532,-81.4686,5.0
33452795.0,Orlando,28.5544,-81.3504,5.0
33463872.0,Orlando,28.6017,-81.3565,5.0
33452304.0,Orlando,28.5835,-81.3697,5.0
33451504.0,Orlando,28.582,-81.4075,5.0
33453444.0,Orlando,28.5453,-81.3558,5.0
33452611.0,Orlando,28.5056,-81.3574,5.0
33460061.0,Orlando,28.5905,-81.3749,5.0
33453624.0,Orlando,28.5845,-81.3692,5.0
33460330.0,Orlando,28.4566,-81.4681,5.0
33460383.0,Orlando,28.4566,-81.4681,5.0
33452914.0,Orlando,28.5135,-81.3713,5.0
33455481.0,Orlando,28.5413,-81.3036,5.0
33460516.0,Orlando,28.5757,-81.3979,5.0
33454081.0,Orlando,28.4583,-81.3381,5.0
33454117.0,Orlando,28.4583,-81.3381,5.0
33453429.0,Orlando,28.5152,-81.3696,5.0
33457531.0,Orlando,28.562,-81.3888,5.0
33453596.0,Orlando,28.5403,-81.3731,5.0
33457409.0,Orlando,28.539,-81.3786,5.0
33464541.0,Orlando,28.6198,-81.4739,4.0
33454131.0,Orlando,28.5346,-81.3469,5.0
33454935.0,Orlando,28.5788,-81.3474,5.0
33453017.0,Orlando,28.5247,-81.3882,5.0
33453773.0,Orlando,28.5138,-81.2986,5.0
33462335.0,Orlando,28.3726,-81.3369,5.0
33461655.0,Orlando,28.4959,-81.3741,4.0
33453265.0,Orlando,28.4898,-81.4061,5.0
33453053.0,Orlando,28.5399,-81.3728,5.0
33455091.0,Orlando,28.5426,-81.3034,5.0
33453380.0,Orlando,28.4938,-81.4072,5.0
33466605.0,Orlando,28.476,-81.3801,5.0
33453482.0,Orlando,28.5339,-81.3743,5.0
33459971.0,Orlando,28.4574,-81.4671,5.0
33451730.0,Orlando,28.4897,-81.4403,5.0
33457808.0,Orlando,28.5451,-81.4839,5.0
33452523.0,Orlando,28.5162,-81.3715,5.0
33454098.0,Orlando,28.4568,-81.3318,5.0
33459037.0,Orlando,28.4933,-81.4705,5.0
33452029.0,Orlando,28.587,-81.3204,5.0
33460946.0,Orlando,28.5938,-81.3658,
33458887.0,Orlando,28.4579,-81.4671,5.0
33453871.0,Orlando,28.5394,-81.3666,5.0
33469242.0,Orlando,28.3397,-81.3244,5.0
33452410.0,Orlando,28.586,-81.3191,5.0
33453666.0,Orlando,28.5446,-81.3597,5.0
33453684.0,Orlando,28.4933,-81.4054,5.0
33453405.0,Orlando,28.5134,-81.2993,5.0
33463072.0,Orlando,28.6017,-81.3565,5.0
